"","Latitude","Longitude","cd1","cd2","cd3","wd1","wd2","wd3"
"795",25.5796,-37.2534,1062.91,0,2125.81,0,0,53.85
"796",26.3333,-37.7217,4605.93,2553.92,6023.14,0,86.8,64.13
"797",27.1974,-38.1324,72986.27,0,8857.55,16.3,630.66,558.38
"798",28.1603,-38.518,41807.67,55398.79,13817.79,14.17,82.2,193.09
"799",28.9639,-38.8362,26926.97,6965.442765,3188.7,0,119.04,35.78
"800",29.8048,-39.3083,75112.09,0,10274.77,7.44,135.34,10365.82
"801",30.6054,-39.6499,6731.74,0,2125.81,1.77,30.82,156.96
"802",31.3922,-40.0811,51728.14,377.59,8857.55,12.75,102.75,71.21
"803",32.1936,-40.6542,43224.88,24283.77,5314.53,14.88,74.75,51.72
"804",33.0022,-41.2924,99204.64,1062.91,35075.92,15.95,179.98,228.88
"805",32.195,-41.6066,60585.69,0,13817.78,25.15,472.99,270.33
"806",31.3751,-41.7579,40744.76,708.6,4605.92,7.08,131.8,156.95
"807",30.5189,-42.0936,50310.92,16297.91,50310.92,13.1,41.81,4208.05
"808",29.695,-42.4807,18423.72,21597.53,22.67,3.89,22.67,23.74
"809",28.849,-42.5947,12046.27,159155.27,4605.92,0,32.59,23.38
"810",28.0164,-42.8324,20903.84,5112.1907,6023.14,3.54,97.78,49.24
"811",27.1221,-42.9629,8857.55,1832.98,7440.35,0,104.87,107.7
"812",26.2599,-43.1399,14172.09,617.13,5314.53,0.35,126.13,27.64
"813",26.8508,-43.773,2125.81,17546.56,2480.11,0.35,86.8,28.34
"814",27.5769,-44.3386,71569.06,71569.06,28344.18,47.83,153.41,6364.33
"815",28.33,-44.9782,92118.59,604.0059,36493.13,37.9,1171.67,4450.39
"816",29.0401,-45.484,91055.69,8687.22,10983.37,16.29,158.37,106.99
"817",29.7322,-46.0428,46059.29,1983.31,4605.92,19.1,57.39,93.18
"818",30.5454,-46.6554,36847.44,0,19132.32,15.23,131.45,83.61
"819",31.2709,-47.178,169710.8,0,18778.02,271.39,414.17,140.3
"820",32.0609,-47.6879,32595.81,55398.79,7440.34,6.02,224.63,120.82
"821",33.1602,-48.2675,0,0,0,0,0,0
"822",-39.3127,163.5895,0,0,653.5964865,0,0,0
"823",-39.3162,163.5735,0,0,0,0,0,0
"824",-39.3195,163.5565,0,0,566.8658273,0,0,0
"825",-39.9554,160.4171,0,0,0,0,0,0
"826",-40.049,160.0994,0,24076.76,0,0,0,0
"827",-40.0599,160.1041,0,0,405.7462081,0,0,0
"828",-40.6377,155.8846,0,14358.22,0,0,0,0
"829",-40.6433,155.8671,0,428395.48,0,0,0,0
